Time,Trial,Event,Player.Color,Position.X,Position.Y,Planet.Id,WhiteHole.Interaction.BluePlayer,WhiteHole.Interaction.RedPlayer,Planet.Interaction.BluePlayer,Planet.Interaction.RedPlayer,Asteroid.Interaction.BluePlayer,Asteroid.Interaction.RedPlayer
2020-03-11 12:07:21.229300,11,Asteroid.SinglePlayer.Connection,Blue Player,53.0,15.0,,0,1,0,0,1,1
2020-03-11 12:07:21.740400,11,WhiteHole.SinglePlayer.Exit,Red Player,44.0,12.0,,0,1,0,0,1,1
2020-03-11 12:07:21.750400,11,,,,,,0,0,0,0,1,1
2020-03-11 12:07:22.984400,11,Asteroid.SinglePlayer.Exit,Red Player,50.0,11.0,,0,0,0,0,1,1
2020-03-11 12:07:22.994400,11,,,,,,0,0,0,0,1,0
2020-03-11 12:07:23.153500,11,WhiteHole.SinglePlayer.Touch,Red Player,44.0,12.0,,0,1,0,0,1,0
2020-03-11 12:07:23.259500,11,Asteroid.SinglePlayer.Exit,Blue Player,53.0,11.0,,0,1,0,0,1,0
2020-03-11 12:07:23.269500,11,,,,,,0,1,0,0,0,0
2020-03-11 12:07:23.370500,11,WhiteHole.SinglePlayer.Exit,Red Player,44.0,12.0,,0,1,0,0,0,0
2020-03-11 12:07:23.380500,11,,,,,,0,0,0,0,0,0
2020-03-11 12:07:23.753500,11,WhiteHole.SinglePlayer.Touch,Red Player,44.0,12.0,,0,1,0,0,0,0
2020-03-11 12:07:24.203500,11,WhiteHole.SinglePlayer.Exit,Red Player,44.0,12.0,,0,1,0,0,0,0
2020-03-11 12:07:24.213500,11,,,,,,0,0,0,0,0,0
2020-03-11 12:07:47.854900,11,WhiteHole.SinglePlayer.Touch,Blue Player,44.0,12.0,,1,0,0,0,0,0
2020-03-11 12:07:51.344100,11,WhiteHole.SinglePlayer.Trigger,Blue Player,44.0,12.0,,1,0,0,0,0,0
2020-03-11 12:07:51.354100,11,,,,,,0,0,0,0,0,0
2020-03-11 12:07:52.823100,11,Planet.Creation,Red Player,66.0,50.0,7578.0,0,0,0,0,0,0
2020-03-11 12:08:21.362800,11,Asteroid.SinglePlayer.Connection,Red Player,75.0,51.0,,0,0,0,0,0,1
2020-03-11 12:08:21.640800,11,WhiteHole.SinglePlayer.Touch,Red Player,81.0,45.0,,0,1,0,0,0,1
2020-03-11 12:08:21.917800,11,Asteroid.SinglePlayer.Connection,Blue Player,72.0,47.0,,0,1,0,0,1,1
2020-03-11 12:08:22.280800,11,Asteroid.SinglePlayer.Exit,Blue Player,75.0,47.0,,0,1,0,0,1,1
2020-03-11 12:08:22.290800,11,,,,,,0,1,0,0,0,1
2020-03-11 12:08:22.495800,11,Asteroid.SinglePlayer.Exit,Red Player,80.0,46.0,,0,1,0,0,0,1
2020-03-11 12:08:22.505800,11,,,,,,0,1,0,0,0,0
2020-03-11 12:08:24.791000,11,WhiteHole.SinglePlayer.Exit,Red Player,81.0,45.0,,0,1,0,0,0,0
2020-03-11 12:08:24.801000,11,,,,,,0,0,0,0,0,0
2020-03-11 12:08:26.324100,11,WhiteHole.SinglePlayer.Touch,Red Player,81.0,45.0,,0,1,0,0,0,0
2020-03-11 12:08:26.825100,11,WhiteHole.SinglePlayer.Exit,Red Player,81.0,45.0,,0,1,0,0,0,0
2020-03-11 12:08:26.835100,11,,,,,,0,0,0,0,0,0
2020-03-11 12:08:27.224100,11,WhiteHole.SinglePlayer.Touch,Blue Player,81.0,45.0,,1,0,0,0,0,0
2020-03-11 12:08:28.291200,11,WhiteHole.SinglePlayer.Exit,Blue Player,81.0,45.0,,1,0,0,0,0,0
2020-03-11 12:08:28.301200,11,,,,,,0,0,0,0,0,0
2020-03-11 12:08:28.925200,11,WhiteHole.SinglePlayer.Touch,Red Player,81.0,45.0,,0,1,0,0,0,0
2020-03-11 12:08:30.091300,11,WhiteHole.SinglePlayer.Exit,Red Player,81.0,45.0,,0,1,0,0,0,0
2020-03-11 12:08:30.101300,11,,,,,,0,0,0,0,0,0
2020-03-11 12:08:45.642200,11,WhiteHole.SinglePlayer.Touch,Blue Player,70.0,65.0,,1,0,0,0,0,0
2020-03-11 12:08:49.131400,11,WhiteHole.SinglePlayer.Trigger,Blue Player,70.0,65.0,,1,0,0,0,0,0
2020-03-11 12:08:49.141400,11,,,,,,0,0,0,0,0,0
2020-03-11 12:08:53.192600,11,WhiteHole.SinglePlayer.Touch,Blue Player,54.0,79.0,,1,0,0,0,0,0
2020-03-11 12:08:56.492800,11,WhiteHole.SinglePlayer.Exit,Blue Player,54.0,79.0,,1,0,0,0,0,0
2020-03-11 12:08:56.502800,11,,,,,,0,0,0,0,0,0
2020-03-11 12:08:59.494000,11,Planet.Creation,Red Player,76.0,36.0,7958.0,0,0,0,0,0,0
2020-03-11 12:09:01.514100,11,Planet.SinglePlayer.Connection,Red Player,77.0,40.0,7958.0,0,0,0,1,0,0
2020-03-11 12:09:02.198100,11,Planet.SinglePlayer.Exit,Red Player,76.0,36.0,7958.0,0,0,0,1,0,0
2020-03-11 12:09:02.208100,11,,,,,,0,0,0,0,0,0
2020-03-11 12:09:14.749800,11,Asteroid.SinglePlayer.Connection,Red Player,55.0,58.0,,0,0,0,0,0,1
2020-03-11 12:09:23.417300,11,Asteroid.SinglePlayer.Exit,Red Player,66.0,42.0,,0,0,0,0,0,1
