Time,Event,Player.Color,Particle.Type,WhiteHole.Position.X,WhiteHole.Position.Y,Particle.Count,Planet.Id,Planet.Core,Planet.Position.X,Planet.Position.Y,Asteroid.Id,Asteroid.Position.X,Asteroid.Position.Y,Trial Id,Particle.1.Type,Particle.2.Type,WhiteHole.1.Position.X,WhiteHole.1.Position.Y,WhiteHole.2.Position.X,WhiteHole.2.Position.Y,Star.Id,Star.Orbit.Count,Star.Position.X,Star.Position.Y,Planet.Count,BlackHole.Id,BlackHole.Position.X,BlackHole.Position.Y,Object.Id
2020/03/11 10:25:44.6990,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"26,32589","63,617",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.7020,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"22,43775","59,75504",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.7110,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"26,89448","59,85694",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.7150,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"26,29517","63,58552",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.7190,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"22,388","59,76001",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.7290,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"26,77698","59,93897",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.7330,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"26,28658","63,52125",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.7370,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"22,33825","59,76498",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.7490,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"26,68849","60,00272",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.7530,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"26,30317","63,45779",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.7570,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"22,2885","59,76996",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.7671,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"26,61007","60,05921",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.7711,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"26,4519","63,42367",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.7741,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"22,23875","59,77493",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.7851,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"26,54883","60,10333",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.7881,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"26,63479","63,40804",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.7921,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"22,189","59,77991",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.8021,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"26,47902","60,15363",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.8051,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"27,09455","63,35037",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.8091,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"22,13924","59,78488",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.8201,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"26,35707","60,26188",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.8241,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"27,29686","63,32453",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.8281,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"22,08949","59,78986",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.8381,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"26,29554","60,30428",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.8411,Asteroid.SinglePlayer.Connection,Blue Player,,,,,,,,,Asteroid 1(Clone),"27,45498","63,30434",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.8451,Asteroid.MultiPlayer.Connection,,,,,,,,,,Asteroid 1(Clone),"22,03974","59,79483",4,,,,,,,,,,,,,,,
2020/03/11 10:25:44.8551,Asteroid.SinglePlayer.Connection,Red Player,,,,,,,,,Asteroid 1(Clone),"26,22461","60,36047",4,,,,,,,,,,,,,,,
