Time,Player.Color,Position.X,Position.Y,Pos
2020/03/11 09:35:29.7257,Red Player,41,44,(41+44j)
2020/03/11 09:35:29.7297,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.7417,Red Player,41,44,(41+44j)
2020/03/11 09:35:29.7457,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.7587,Red Player,41,44,(41+44j)
2020/03/11 09:35:29.7617,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.7757,Red Player,41,44,(41+44j)
2020/03/11 09:35:29.7787,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.7927,Red Player,41,44,(41+44j)
2020/03/11 09:35:29.7957,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.8087,Red Player,41,44,(41+44j)
2020/03/11 09:35:29.8117,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.8257,Red Player,41,44,(41+44j)
2020/03/11 09:35:29.8307,Blue Player,34,47,(34+47j)
2020/03/11 09:35:29.8417,Red Player,41,44,(41+44j)
2020/03/11 09:35:29.8457,Blue Player,34,46,(34+46j)
2020/03/11 09:35:29.8587,Red Player,41,44,(41+44j)
2020/03/11 09:35:29.8627,Blue Player,34,46,(34+46j)
2020/03/11 09:35:29.8757,Red Player,41,44,(41+44j)
2020/03/11 09:35:29.8787,Blue Player,34,46,(34+46j)
2020/03/11 09:35:29.8917,Red Player,41,44,(41+44j)
2020/03/11 09:35:29.8957,Blue Player,34,46,(34+46j)
2020/03/11 09:35:29.9087,Red Player,41,44,(41+44j)
2020/03/11 09:35:29.9127,Blue Player,34,46,(34+46j)
2020/03/11 09:35:29.9257,Red Player,41,44,(41+44j)
2020/03/11 09:35:29.9287,Blue Player,34,46,(34+46j)
2020/03/11 09:35:29.9417,Red Player,41,44,(41+44j)
2020/03/11 09:35:29.9447,Blue Player,33,46,(33+46j)
2020/03/11 09:35:29.9587,Red Player,41,44,(41+44j)
2020/03/11 09:35:29.9627,Blue Player,33,46,(33+46j)
2020/03/11 09:35:29.9757,Red Player,41,44,(41+44j)
2020/03/11 09:35:29.9787,Blue Player,34,46,(34+46j)
2020/03/11 09:35:29.9917,Red Player,41,44,(41+44j)
2020/03/11 09:35:29.9947,Blue Player,34,46,(34+46j)
2020/03/11 09:35:30.0087,Red Player,41,44,(41+44j)
2020/03/11 09:35:30.0117,Blue Player,34,46,(34+46j)
2020/03/11 09:35:30.0257,Red Player,41,44,(41+44j)
2020/03/11 09:35:30.0287,Blue Player,34,47,(34+47j)
2020/03/11 09:35:30.0427,Red Player,41,44,(41+44j)
2020/03/11 09:35:30.0457,Blue Player,34,47,(34+47j)
2020/03/11 09:35:30.0587,Red Player,40,44,(40+44j)
2020/03/11 09:35:30.0617,Blue Player,34,47,(34+47j)
2020/03/11 09:35:30.0747,Red Player,40,44,(40+44j)
2020/03/11 09:35:30.0787,Blue Player,34,47,(34+47j)
2020/03/11 09:35:30.0917,Red Player,40,44,(40+44j)
2020/03/11 09:35:30.0967,Blue Player,34,46,(34+46j)
2020/03/11 09:35:30.1087,Red Player,40,44,(40+44j)
2020/03/11 09:35:30.1127,Blue Player,34,46,(34+46j)
2020/03/11 09:35:30.1247,Red Player,40,44,(40+44j)
2020/03/11 09:35:30.1297,Blue Player,34,46,(34+46j)
2020/03/11 09:35:30.1417,Red Player,40,44,(40+44j)
2020/03/11 09:35:30.1457,Blue Player,34,46,(34+46j)
2020/03/11 09:35:30.1587,Red Player,40,44,(40+44j)
2020/03/11 09:35:30.1627,Blue Player,34,46,(34+46j)
2020/03/11 09:35:30.1757,Red Player,40,44,(40+44j)
2020/03/11 09:35:30.1797,Blue Player,34,46,(34+46j)
2020/03/11 09:35:30.1917,Red Player,40,44,(40+44j)
2020/03/11 09:35:30.1957,Blue Player,33,46,(33+46j)
2020/03/11 09:35:30.2087,Red Player,40,44,(40+44j)
2020/03/11 09:35:30.2117,Blue Player,33,45,(33+45j)
2020/03/11 09:35:30.2257,Red Player,40,44,(40+44j)
2020/03/11 09:35:30.2297,Blue Player,34,45,(34+45j)
2020/03/11 09:35:30.2427,Red Player,40,44,(40+44j)
2020/03/11 09:35:30.2447,Blue Player,34,45,(34+45j)
2020/03/11 09:35:30.2587,Red Player,40,44,(40+44j)
2020/03/11 09:35:30.2627,Blue Player,34,45,(34+45j)
2020/03/11 09:35:30.2747,Red Player,40,44,(40+44j)
2020/03/11 09:35:30.2787,Blue Player,34,45,(34+45j)
2020/03/11 09:35:30.2917,Red Player,40,44,(40+44j)
2020/03/11 09:35:30.2957,Blue Player,34,45,(34+45j)
2020/03/11 09:35:30.3087,Red Player,40,44,(40+44j)
2020/03/11 09:35:30.3127,Blue Player,34,45,(34+45j)
2020/03/11 09:35:30.3257,Red Player,40,45,(40+45j)
2020/03/11 09:35:30.3297,Blue Player,34,45,(34+45j)
2020/03/11 09:35:30.3417,Red Player,40,45,(40+45j)
2020/03/11 09:35:30.3457,Blue Player,34,45,(34+45j)
2020/03/11 09:35:30.3597,Red Player,40,45,(40+45j)
2020/03/11 09:35:30.3637,Blue Player,34,45,(34+45j)
2020/03/11 09:35:30.3757,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.3797,Blue Player,34,45,(34+45j)
2020/03/11 09:35:30.3917,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.3967,Blue Player,34,45,(34+45j)
2020/03/11 09:35:30.4087,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.4127,Blue Player,34,45,(34+45j)
2020/03/11 09:35:30.4257,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.4287,Blue Player,34,45,(34+45j)
2020/03/11 09:35:30.4427,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.4457,Blue Player,34,45,(34+45j)
2020/03/11 09:35:30.4587,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.4627,Blue Player,34,45,(34+45j)
2020/03/11 09:35:30.4757,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.4797,Blue Player,35,44,(35+44j)
2020/03/11 09:35:30.4917,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.4957,Blue Player,34,44,(34+44j)
2020/03/11 09:35:30.5087,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.5127,Blue Player,34,44,(34+44j)
2020/03/11 09:35:30.5257,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.5297,Blue Player,34,44,(34+44j)
2020/03/11 09:35:30.5417,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.5447,Blue Player,34,44,(34+44j)
2020/03/11 09:35:30.5587,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.5617,Blue Player,34,44,(34+44j)
2020/03/11 09:35:30.5757,Red Player,41,45,(41+45j)
2020/03/11 09:35:30.5787,Blue Player,34,44,(34+44j)
